Date,Title
05/17/2012,A Stellar Dynamical Mass Measurement of the Black Hole in NGC 3998 from Keck Adaptive Optics Observations
05/17/2012,Discovery of Two Very Wide Binaries with Ultracool Companions and a New Brown Dwarf at the L/T Transition
05/17/2012,Detection of Thermal Emission from a Super-Earth
05/07/2012,Spectral Typing of Late Type Stellar Companions to Young Stars from Low Dispersion Near-Infrared Integral Field Unit Data
05/07/2012,The Metallicity of the Monoceros Stream
04/22/2012,Identifying Ultra-Cool Dwarfs at Low Galactic Latitudes: A Southern Candidate Catalogue
04/19/2012,Evidence of strong quasar feedback in the early Universe
04/11/2012,Time-resolved Ultraviolet Spectroscopy of the M-dwarf GJ 876 Exoplanetary System
04/03/2012,"Line identification in high-resolution, near-infrared CRIRES spectra of chemically peculiar and Herbig Ae stars"
04/03/2012,New Spatially Resolved Mid-IR Observations of the Transitional Disk TW Hya and Tentative Evidence for a Self-Luminous Companion
04/03/2012,Converting From 3.6 and 4.5 Micron Fluxes to Stellar Mass
03/27/2012,The Brown Dwarf Kinematics Project (BDKP). III. Parallaxes for 70 Ultracool Dwarfs
03/26/2012,The First Planets: the Critical Metallicity for Planet Formation
03/25/2012,SMA and Spitzer Observations of Bok Glouble CB17: A Candidate First Hydrostatic Core?
03/25/2012,Fundamental properties and atmospheric structure of the red supergiant VY CMa based on VLTI/AMBER spectro-interferometry
03/25/2012,Sky Surveys
03/25/2012,Tidal Venuses: Triggering a Climate Catastrophe via Tidal Heating
03/25/2012,On the accumulation of planetesimals near disc gaps created by protoplanets
03/20/2012,K-Shell Photoionization of Singly Ionized Atomic Nitrogen: Experiment and Theory
03/20/2012,K-shell x-ray spectroscopy of atomic nitrogen
03/20/2012,GNOMOS: The Gemini NIR-Optical Multi Object Spectrograph
03/20/2012,Position and energy-resolved particle detection using phonon-mediated microwave kinetic inductance detectors
03/20/2012,A Detection Of H-alpha In An Exoplanetary Exosphere
03/19/2012,Direct imaging constraints on planet populations detected by microlensing
03/04/2012,Clustering Fossils from the Early Universe
02/14/2012,beta Pic b position relative to the Debris Disk
02/14/2012,Constrains on planets around beta Pic with Harps radial velocity data
02/14/2012,"The HARPS-TERRA project I. Description of the algorithms, performance and new measurements on a few remarkable stars observed by HARPS"
02/14/2012,Detection of the Second r-process Peak Element Tellurium in Metal-Poor Stars
01/24/2012,A new vision on giant planet interiors: the impact of double diffusive convection
01/24/2012,Infrared Non-detection of Fomalhaut b -- Implications for the Planet Interpretation
01/16/2012,"Science performance of Gaia, ESA's space-astrometry mission"
